nome,cpf,idade,data,estado,salario,nivel_educacao,numero_filhos,estado_civil,anos_experiencia,area_atuacao,rua,bairro,cep,cidade
Leandro Dias,612.***.***-49,19,2004-06-19,Pará,1823.78,Ensino Fundamental,1,Casado,0,Indústria,Vereda Nathan Correia,Madri,01562-141,Oliveira da Prata 
Luiz Otávio Ramos,164.***.***-00,37,1986-06-11,Distrito Federal,2548.86,Ensino Fundamental,0,Casado,0,Tecnologia,"Morro de Azevedo, 92",Vila Santa Monica 2ª Seção,47918-943,Cardoso Verde 
Stella Barros,180.***.***-66,33,1990-06-04,Sergipe,7390.2,Ensino Médio,3,Casado,2,Saúde,"Passarela Bryan Almeida, 84",São Francisco,86432-090,Araújo 
Sabrina da Rosa,105.***.***-77,22,2001-06-13,Paraíba,3090.05,Ensino Fundamental,1,Casado,1,Saúde,"Sítio Lorena Rodrigues, 50",Solar Do Barreiro,11823-654,Correia do Amparo 
Caroline Porto,954.***.***-83,23,2000-12-04,Goiás,3672.76,Ensino Fundamental,1,Casado,4,Educação,"Fazenda de Fogaça, 48",Solar Do Barreiro,74039-786,Aragão da Serra 
Dra. Bruna Fogaça,492.***.***-60,24,1999-05-29,Alagoas,5931.1,Não informado,0,Não informado,1,Não informado,"Distrito Ferreira, 3",São Vicente,26711-824,Moreira do Sul 
Pedro Henrique Moura,375.***.***-46,53,1971-03-31,Pará,10312.94,Ensino Médio,0,Solteiro,26,Educação,"Pátio Paulo Porto, 60",São José,79700-782,Lima 
Sra. Clarice Viana,078.***.***-30,30,1993-10-22,Rio Grande do Sul,12535.62,Pós-graduação,1,Casado,12,Saúde,"Lagoa de Araújo, 18",Vila Independencia 3ª Seção,90833-506,Rodrigues 
Erick Mendes,532.***.***-07,23,2000-05-26,Acre,6350.86,Ensino Médio,1,Casado,5,Tecnologia,"Vereda de Pereira, 98",Dom Joaquim,63049-222,Porto 
Beatriz Castro,236.***.***-03,62,1961-06-29,Sergipe,12639.4,Ensino Superior,1,Casado,26,Tecnologia,"Área de Porto, 30",Custodinha,10848-783,Gonçalves 
Emilly Martins,532.***.***-79,49,1974-07-04,Mato Grosso do Sul,6019.32,Ensino Superior,0,Solteiro,12,Saúde,"Viela Monteiro, 88",Vila Real 1ª Seção,47098-404,da Mota 
Mirella Nunes,705.***.***-66,46,1977-08-22,Rio Grande do Norte,10292.34,Ensino Médio,2,Solteiro,16,Saúde,"Lago de Porto, 8",Ermelinda,14184-780,Monteiro Grande 
Isabel Lima,703.***.***-44,38,1985-10-17,Mato Grosso,5788.67,Ensino Fundamental,1,Casado,13,Indústria,"Trecho de Viana, 9",Vila Nova Dos Milionarios,19966-201,Araújo de Lopes 
Sra. Bianca Aragão,908.***.***-15,21,2002-11-08,Espírito Santo,3787.32,Ensino Fundamental,3,Viúvo,0,Saúde,"Lagoa João Aragão, 75",Vila Paris,99115-868,Pereira 
Alexia Vieira,827.***.***-71,55,1969-01-17,Alagoas,11492.12,Ensino Superior,1,Casado,12,Indústria,"Morro Martins, 876",Lourdes,71407-929,Lima 
Gustavo Henrique Pires,136.***.***-95,26,1998-01-21,Maranhão,6401.35,Ensino Superior,2,Casado,1,Educação,"Avenida da Conceição, 36",Dom Joaquim,04358-527,Moraes do Campo 
Enzo Souza,305.***.***-68,51,1972-11-11,Rio Grande do Sul,8678.11,Ensino Médio,1,Casado,26,Saúde,"Trecho Novaes, 94",Teixeira Dias,87329-467,Costa 
Clarice Nogueira,542.***.***-05,45,1978-11-26,Mato Grosso do Sul,9688.2,Ensino Médio,1,Solteiro,13,Saúde,"Jardim Gabrielly Nunes, 841",Aguas Claras,69657-204,Dias das Flores 
Maria Fernanda Gonçalves,415.***.***-91,63,1960-12-31,Rio de Janeiro,16418.66,Ensino Superior,0,Casado,32,Comércio,"Aeroporto Theo Dias, 7",Ademar Maldonado,48505-815,Sales 
Julia Martins,907.***.***-58,23,2000-06-10,Distrito Federal,9704.09,Ensino Superior,0,Solteiro,3,Indústria,"Lago Maria Julia Duarte, 95",Casa Branca,57340-621,da Mota 
Kevin Carvalho,720.***.***-31,20,2003-08-06,Espírito Santo,6834.99,Ensino Médio,0,Solteiro,2,Indústria,"Viela de da Mata, 279",Vila São Paulo,76253-956,Barros do Sul 
Luiz Gustavo Rocha,728.***.***-41,83,1941-02-15,Acre,5704.98,Ensino Fundamental,1,Solteiro,29,Indústria,"Via Araújo, 32",São Francisco Das Chagas,95988-212,Melo 
Kevin Ribeiro,894.***.***-91,18,2005-05-14,Rio Grande do Sul,5312.82,Pós-graduação,0,Casado,0,Comércio,"Alameda da Rosa, 86",Vila Boa Vista,90402-220,Nunes 
Isis Fogaça,796.***.***-31,22,2001-05-27,Mato Grosso,3379.76,Ensino Médio,0,Divorciado,4,Educação,"Praça de da Luz, 66",Vila Das Oliveiras,08803-039,Silveira 
João Miguel da Paz,173.***.***-60,21,2002-10-25,Mato Grosso,4172.28,Ensino Médio,1,Casado,2,Educação,"Núcleo de Caldeira, 11",Vila Ipiranga,51665-903,Silveira Paulista 
Vitor Hugo Lima,983.***.***-77,26,1997-11-21,Pernambuco,13968.72,Pós-graduação,0,Casado,0,Tecnologia,"Chácara Alexandre Cunha, 308",Vila Paris,74002-521,Pires 
Leandro Martins,624.***.***-29,46,1978-01-14,Tocantins,6434.44,Ensino Médio,0,Casado,0,Educação,"Residencial de da Cunha, 620",Manacas,56396-674,Nogueira 
Leonardo Moreira,391.***.***-99,48,1975-04-18,Pernambuco,7983.69,Ensino Médio,0,Casado,24,Tecnologia,"Colônia Lopes, 60",Santa Maria,77035-483,Lima do Oeste 
Dra. Giovanna Farias,985.***.***-48,19,2005-03-15,Ceará,3350.36,Ensino Médio,1,Casado,0,Saúde,"Via Gomes, 6",São Benedito,27670-425,Fogaça 
Esther Teixeira,041.***.***-11,29,1994-05-18,São Paulo,3728.32,Ensino Médio,1,Divorciado,5,Tecnologia,"Morro Ana Luiza da Paz, 39",Pantanal,30335-411,da Paz 
Lara da Paz,351.***.***-06,56,1967-07-18,São Paulo,17352.61,Ensino Superior,0,Casado,12,Tecnologia,"Núcleo Barbosa, 75",Universitário,14198-677,Teixeira 
Helena Rezende,307.***.***-10,55,1969-01-21,Amazonas,10352.06,Ensino Médio,0,Casado,33,Tecnologia,"Estrada Silveira, 45",Vila São Paulo,75914-853,da Mata das Flores 
Sr. Davi Lucas Monteiro,637.***.***-01,38,1985-12-12,Maranhão,5793.49,Ensino Médio,0,Casado,12,Indústria,"Viela João Felipe da Rosa, 49",Vila Madre Gertrudes 4ª Seção,45342-769,da Cunha do Amparo 
Camila Cavalcanti,743.***.***-07,24,1999-07-28,Rio de Janeiro,3786.4,Ensino Fundamental,0,Solteiro,1,Tecnologia,"Praia de Martins, 2",Mirante,96708-513,Rodrigues do Norte 
Agatha Peixoto,094.***.***-75,43,1981-01-01,Espírito Santo,5195.48,Ensino Médio,2,Divorciado,1,Educação,"Trevo de Aragão, 5",São Gabriel,80427-624,Silva da Prata 
Rafaela Teixeira,176.***.***-40,64,1959-04-19,Tocantins,10684.6,Ensino Superior,1,Solteiro,0,Tecnologia,"Núcleo de Araújo, 5",Estrela Do Oriente,46740-142,Pinto de Minas 
Raquel da Costa,617.***.***-02,62,1961-12-13,Paraíba,3131.68,Ensino Fundamental,1,Casado,3,Educação,"Praia Peixoto, 69",Leticia,65919-074,Moura de Minas 
Rodrigo Farias,075.***.***-62,45,1978-10-26,Acre,8757.13,Ensino Médio,1,Casado,24,Educação,"Fazenda Luiz Henrique Caldeira, 65",Vila Nova Cachoeirinha 3ª Seção,23525-993,Rodrigues das Flores 
Isabelly Dias,201.***.***-50,18,2005-05-28,Rio Grande do Sul,4400.85,Ensino Fundamental,0,Divorciado,0,Tecnologia,"Pátio Dias, 16",Comiteco,24613-192,da Luz 
Elisa Almeida,803.***.***-47,27,1996-08-16,Amazonas,5194.48,Ensino Superior,1,Solteiro,6,Indústria,"Distrito Peixoto, 66",Tres Marias,66394-723,Souza dos Dourados 
Francisco Ribeiro,725.***.***-00,34,1989-11-10,Bahia,3048.51,Ensino Médio,0,Solteiro,1,Saúde,"Lago Maria Cecília das Neves, 843",Embaúbas,79206-186,Freitas 
Kaique da Luz,647.***.***-03,54,1969-05-03,Amapá,6454.24,Ensino Médio,1,Divorciado,23,Tecnologia,"Viela Guilherme Nascimento, 71",Xodo-Marize,28480-113,Moraes 
Alexandre Moraes,273.***.***-16,24,1999-09-07,Amapá,6598.84,Ensino Superior,1,Casado,3,Indústria,"Pátio Pereira, 37",Mala E Cuia,88418-649,Mendes 
Ana Carolina Moreira,258.***.***-94,44,1979-07-17,Distrito Federal,3508.93,Ensino Médio,0,Casado,0,Comércio,Sítio Aragão,Vila Bandeirantes,30285-188,da Rocha 
Ana Luiza da Rosa,867.***.***-09,65,1959-02-26,Pernambuco,15902.09,Ensino Superior,0,Solteiro,25,Indústria,"Ladeira de Almeida, 62",Cidade Jardim,54856-865,Cavalcanti de Almeida 
Maysa Pereira,150.***.***-06,47,1976-11-27,Maranhão,6558.07,Não informado,1,Não informado,14,Não informado,"Viela de da Rocha, 56",Ermelinda,25246-701,Mendes 
Isadora Ferreira,435.***.***-83,61,1963-03-07,Goiás,3512.41,Ensino Fundamental,0,Casado,20,Saúde,Rodovia de Araújo,Vila Santo Antônio Barroquinha,82117-463,da Mata de Goiás 
Gabrielly Gomes,945.***.***-14,27,1996-10-23,Roraima,4425.97,Ensino Fundamental,1,Solteiro,0,Saúde,"Recanto Ribeiro, 35",Dom Joaquim,40662-767,Moreira de da Cruz 
Vitor Hugo Jesus,620.***.***-43,42,1981-11-30,Minas Gerais,3988.17,Ensino Médio,1,Divorciado,9,Comércio,"Distrito Rezende, 91",Paulo Vi,21985-775,Lima 
Lorena Cunha,940.***.***-06,22,2001-05-11,Espírito Santo,6764.265822019516,Ensino Superior,1,Casado,1,Comércio,"Praia Rezende, 60",Maria Helena,14801-466,Mendes dos Dourados 
Sr. João Moraes,701.***.***-16,55,1968-10-29,Roraima,6195.22,Ensino Médio,0,Casado,27,Saúde,"Viela Fernandes, 54",Santa Rita,69028-732,Peixoto das Flores 
Valentina Nascimento,307.***.***-52,32,1992-01-19,Rio Grande do Sul,12134.53,Ensino Superior,1,Casado,4,Tecnologia,"Viaduto Teixeira, 64",Cidade Nova,94140-629,Freitas do Galho 
Sra. Maria Julia da Mota,623.***.***-42,44,1979-07-19,Bahia,8036.53,Ensino Médio,1,Casado,8,Saúde,"Rua de Santos, 17",Vila Olhos D'água,50056-838,Moura 
Leonardo Correia,361.***.***-10,27,1996-10-29,Santa Catarina,7242.75,Ensino Superior,0,Solteiro,5,Indústria,"Rodovia de Melo, 981",Colégio Batista,83048-425,Araújo 
Diego Moraes,716.***.***-99,43,1980-09-14,Mato Grosso do Sul,3812.69,Ensino Fundamental,2,Casado,18,Comércio,"Praça Santos, 70",Vila Jardim Montanhes,66106-737,Novaes de Minas 
Marcela Campos,564.***.***-98,46,1977-07-21,Mato Grosso do Sul,5784.7,Ensino Médio,3,Casado,1,Indústria,Vereda de Costa,Pindura Saia,20498-690,Jesus do Campo 
Rafael da Mata,510.***.***-04,42,1981-07-14,São Paulo,2804.41,Ensino Médio,0,Solteiro,3,Comércio,"Praça Pereira, 398",Senhor Dos Passos,10445-974,Mendes do Amparo 
Paulo Freitas,718.***.***-78,27,1996-05-06,Rio Grande do Sul,6605.82,Não informado,0,Não informado,5,Não informado,"Setor de Gomes, 551",Acaba Mundo,03536-954,Aragão de Ferreira 
Enzo Gabriel Teixeira,470.***.***-48,44,1979-09-22,Paraná,9422.11,Ensino Superior,3,Solteiro,7,Tecnologia,"Colônia de da Paz, 45",Vila Da Luz,87991-001,Dias 
Lara Ribeiro,856.***.***-05,25,1998-12-21,Minas Gerais,6225.85,Ensino Médio,0,Casado,6,Educação,"Distrito Freitas, 46",Maria Helena,49770-573,Vieira da Prata 
Bryan Nogueira,501.***.***-80,19,2004-09-11,Goiás,6764.265822019516,Ensino Superior,3,Solteiro,0,Saúde,"Lagoa de Freitas, 4",Xangri-Lá,01505-658,Campos 
Marcelo Moreira,498.***.***-01,44,1979-04-21,Acre,8009.89,Ensino Médio,0,Solteiro,11,Indústria,Colônia Ferreira,Chácara Leonina,46754-373,Gonçalves 
Stephany Mendes,703.***.***-83,61,1962-10-09,Piauí,8369.57,Ensino Superior,0,Casado,13,Saúde,"Recanto Manuela das Neves, 18",Vila Vista Alegre,86330-081,Rodrigues Verde 
Calebe Sales,531.***.***-05,25,1998-06-28,Rio Grande do Sul,3165.91,Ensino Médio,2,Casado,3,Indústria,Colônia Rodrigues,Álvaro Camargos,38646-385,Lima da Prata 
Davi Lucca Peixoto,023.***.***-60,49,1974-06-21,São Paulo,4394.59,Não informado,5,Não informado,1,Não informado,"Morro Costela, 837",Ipiranga,75902-049,da Cunha dos Dourados 
Elisa Cardoso,052.***.***-71,26,1998-01-11,Paraíba,5576.21,Ensino Superior,1,Casado,6,Tecnologia,"Alameda de Porto, 1",Delta,13290-035,Castro 
Mariana Novaes,701.***.***-80,40,1984-01-19,Sergipe,5671.59,Ensino Médio,1,Casado,17,Indústria,"Colônia de Novaes, 22",Ipe,80890-119,Silveira de Pereira 
Dra. Ana Beatriz Ramos,639.***.***-07,46,1977-10-10,Alagoas,5441.64,Ensino Fundamental,3,Solteiro,24,Saúde,"Rua Correia, 48",Concórdia,88357-254,Jesus Paulista 
Calebe Fogaça,153.***.***-44,39,1985-02-19,Paraíba,6063.43,Ensino Médio,0,Casado,16,Comércio,"Estrada de da Cunha, 7",São Sebastião,21554-011,Cardoso de da Costa 
Thomas da Mata,613.***.***-91,67,1956-06-22,Paraíba,5291.11,Ensino Médio,2,Casado,49,Educação,"Via de Pereira, 44",Vila São Paulo,43222-507,Ramos das Flores 
Luiz Fernando Novaes,246.***.***-40,29,1995-04-09,Minas Gerais,2768.73,Ensino Médio,1,Solteiro,0,Educação,"Distrito Olivia Silveira, 29",Pongelupe,79106-993,Ribeiro 
Dr. João Gabriel Farias,634.***.***-25,50,1973-11-24,Pernambuco,9141.51,Ensino Médio,1,Solteiro,10,Tecnologia,"Praça de Melo, 14",Sion,17702-164,Campos de Goiás 
Raul Correia,051.***.***-15,19,2005-03-05,Acre,6764.265822019516,Ensino Fundamental,0,Casado,1,Indústria,"Alameda Cavalcanti, 81",Vila São Gabriel Jacui,03642-665,Oliveira 
Dra. Alexia Azevedo,950.***.***-97,69,1954-09-14,Minas Gerais,3623.17,Ensino Médio,0,Casado,10,Educação,"Campo Rezende, 4",Ipe,75916-327,da Luz de Goiás 
Bryan da Mota,650.***.***-40,61,1962-09-13,Piauí,6840.39,Ensino Médio,1,Casado,20,Indústria,"Aeroporto Barros, 42",Mangueiras,73945-143,Aragão da Serra 
Sr. Luiz Fernando Nascimento,316.***.***-37,36,1987-09-19,Pernambuco,3922.92,Ensino Fundamental,0,Casado,1,Indústria,"Colônia Diego Teixeira, 643",Boa União 1ª Seção,36376-117,Barros do Norte 
Evelyn Almeida,803.***.***-88,27,1996-12-15,Mato Grosso do Sul,10002.52,Ensino Superior,0,Divorciado,0,Saúde,"Morro da Paz, 44",Comiteco,17566-648,da Rosa 
Renan das Neves,481.***.***-64,24,1999-09-19,Mato Grosso,7059.04,Ensino Superior,0,Divorciado,0,Educação,"Condomínio Lorena Azevedo, 11",Jardim Dos Comerciarios,88734-359,da Cunha de Costa 
Enzo Gabriel Correia,352.***.***-91,37,1986-08-03,Pernambuco,4516.47,Ensino Médio,0,Solteiro,13,Indústria,"Aeroporto de Rocha, 923",Belmonte,04819-281,Ramos da Serra 
Emanuel Freitas,465.***.***-82,56,1967-09-04,Maranhão,6822.63,Ensino Médio,0,Casado,25,Comércio,"Estrada Jesus, 425",Prado,40647-004,Carvalho de da Costa 
Noah Jesus,021.***.***-01,47,1976-11-01,Bahia,3481.46,Ensino Fundamental,0,Divorciado,4,Tecnologia,Trevo de Monteiro,Vila Piratininga,86273-895,Ribeiro 
Dr. Danilo da Cunha,381.***.***-12,52,1971-07-12,São Paulo,13076.78,Ensino Médio,0,Solteiro,25,Tecnologia,"Núcleo de Barros, 623",Dom Bosco,13816-385,Fernandes 
Cauã Rodrigues,618.***.***-62,25,1999-01-31,Distrito Federal,4728.45,Ensino Médio,1,Casado,0,Educação,"Recanto de Nascimento, 582",São Bento,30412-076,Almeida da Mata 
Carlos Eduardo Duarte,683.***.***-90,31,1992-08-29,Mato Grosso do Sul,5989.3,Ensino Médio,0,Solteiro,1,Comércio,Núcleo Henrique Fogaça,Fernão Dias,26351-456,Porto de Caldeira 
Maria Carvalho,563.***.***-80,58,1965-09-22,Pará,10022.74,Ensino Médio,0,Casado,30,Comércio,"Trevo Lima, 46",Conjunto Califórnia Ii,07223-914,Lopes 
Daniel Alves,608.***.***-94,59,1965-04-09,Paraíba,12870.23,Ensino Médio,0,Casado,38,Indústria,"Avenida Maria Clara da Conceição, 6",Monte São José,96178-642,Correia 
João Miguel Alves,485.***.***-50,18,2006-04-02,Amazonas,4323.49,Ensino Médio,0,Solteiro,0,Indústria,"Jardim João Lucas Caldeira, 85",Distrito Industrial Do Jatoba,77757-942,Dias 
Sra. Natália Ribeiro,240.***.***-43,36,1987-06-12,Espírito Santo,2826.59,Ensino Médio,0,Casado,0,Saúde,"Jardim Maria Clara Carvalho, 2",Vila Oeste,23617-649,Ribeiro dos Dourados 
Ana Carolina da Paz,839.***.***-60,46,1978-03-01,Amazonas,10120.18,Ensino Superior,3,Casado,7,Saúde,"Residencial de Rezende, 62",Vila Pinho,79934-483,Farias do Sul 
Luana Dias,578.***.***-83,36,1987-09-04,Espírito Santo,7493.84,Ensino Médio,0,Casado,18,Indústria,"Setor Cardoso, 83",Barão Homem De Melo 2ª Seção,31062-433,Ramos 
Cecília Carvalho,751.***.***-08,36,1987-05-15,Alagoas,6764.265822019516,Não informado,1,Não informado,18,Não informado,Residencial Farias,Conjunto Providencia,01918-884,Teixeira de Goiás 
Maria Cecília Gonçalves,712.***.***-02,45,1979-03-30,Roraima,4498.99,Não informado,3,Não informado,0,Não informado,"Morro Alexandre Ferreira, 86",Nova Suíça,93779-542,Lopes dos Dourados 
Clarice Ribeiro,579.***.***-30,20,2004-03-09,Rio Grande do Norte,3048.33,Ensino Médio,1,Casado,2,Educação,"Vereda Sabrina da Conceição, 602",Jardim América,58477-647,Nascimento 
Stephany Carvalho,104.***.***-17,53,1971-01-30,Amazonas,5992.75,Ensino Médio,0,Solteiro,2,Comércio,"Estrada Silva, 47",Santa Maria,19420-201,Vieira 
Vitor Moreira,540.***.***-26,47,1976-12-21,Mato Grosso do Sul,3982.1,Ensino Médio,0,Casado,7,Saúde,"Recanto Ferreira, 3",Vila Jardim São José,90949-041,Silveira 
Luiz Otávio Pereira,720.***.***-94,30,1993-11-11,Minas Gerais,10704.86,Ensino Superior,3,Casado,0,Tecnologia,Loteamento Evelyn da Conceição,Vila Dos Anjos,56243-954,Costela do Sul 
Vitor Gabriel Castro,215.***.***-01,44,1980-02-05,Rio Grande do Norte,5753.36,Ensino Médio,0,Casado,21,Tecnologia,"Feira de da Cruz, 6",São Jorge 2ª Seção,03485-093,Ferreira 
Maria Cecília Farias,059.***.***-05,65,1958-04-16,Piauí,11272.18,Ensino Médio,1,Casado,24,Saúde,"Travessa de Fogaça, 32",Nova Cachoeirinha,54225-177,da Rosa 
Bruna Silveira,617.***.***-16,50,1973-09-20,Santa Catarina,5874.39,Ensino Fundamental,5,Casado,7,Tecnologia,"Colônia de Souza, 30",Ribeiro De Abreu,86093-654,da Rosa 
Olivia Farias,764.***.***-01,25,1998-12-10,Ceará,9261.18,Ensino Superior,1,Casado,1,Saúde,"Loteamento Maria Cecília da Rocha, 96",Jatobá,31577-472,da Costa Grande 
Dra. Kamilly Aragão,159.***.***-57,28,1996-02-24,Sergipe,2772.64,Ensino Fundamental,1,Casado,6,Comércio,"Vereda Pedro Caldeira, 25",São Gabriel,64049-087,Ribeiro 
Ana Carolina Nogueira,951.***.***-24,45,1978-09-01,Rondônia,2952.09,Ensino Fundamental,0,Casado,9,Tecnologia,"Recanto de Ribeiro, 48",Vila Paris,28982-981,Peixoto do Norte 
Emanuella Peixoto,698.***.***-21,41,1982-04-26,Mato Grosso do Sul,13888.41,Pós-graduação,1,Viúvo,15,Indústria,"Feira Barbosa, 26",Ribeiro De Abreu,06551-136,Dias 
Maysa Nunes,465.***.***-62,18,2005-05-07,Rio Grande do Norte,5623.14,Ensino Médio,0,Casado,0,Comércio,Praça Moreira,Vila Santa Rosa,46905-416,Almeida 
Pedro Martins,624.***.***-24,70,1954-01-24,Amapá,14844.87,Ensino Médio,1,Casado,28,Tecnologia,"Fazenda Davi Farias, 7",Bonsucesso,94500-477,Moreira 
Júlia Barros,726.***.***-69,39,1984-06-08,Paraíba,4172.43,Ensino Médio,1,Casado,5,Saúde,"Vereda Fernanda Dias, 80",Vila Madre Gertrudes 1ª Seção,37737-567,Lopes de Goiás 
Calebe Campos,893.***.***-51,47,1976-06-13,Roraima,5677.33,Ensino Médio,0,Casado,9,Comércio,"Vale Pedro Correia, 504",Jonas Veiga,18962-521,Rocha do Campo 
Marcos Vinicius Pinto,138.***.***-97,19,2004-05-15,Rio Grande do Norte,3677.42,Ensino Médio,2,Casado,1,Comércio,"Chácara de Fernandes, 880",Vila Paquetá,91432-014,da Conceição da Mata 
Vitor Hugo Moreira,924.***.***-82,34,1990-03-12,Mato Grosso,5342.36,Ensino Superior,2,Casado,11,Educação,"Viaduto Luigi Rezende, 84",Leticia,69637-133,Nascimento 
Alexandre Cardoso,329.***.***-55,62,1961-07-02,Ceará,3194.69,Ensino Fundamental,1,Casado,13,Indústria,"Lago Rebeca Castro, 46",Marçola,58718-129,Rocha Verde 
Isadora Almeida,510.***.***-30,23,2001-04-08,Tocantins,2271.48,Ensino Médio,1,Casado,1,Educação,"Alameda Emilly Freitas, 4",Fazendinha,49662-255,Barros do Oeste 
Lavínia Correia,249.***.***-65,56,1968-02-12,Paraíba,7322.34,Ensino Médio,2,Casado,13,Comércio,"Recanto João Vitor Melo, 66",Carlos Prates,09020-354,Gonçalves de Farias 
Luiz Felipe da Conceição,823.***.***-13,23,2000-11-10,Rio Grande do Norte,3772.74,Ensino Fundamental,2,Solteiro,3,Indústria,"Estação de Duarte, 20",Vila Da Ária,91751-651,da Rocha de Santos 
Marcos Vinicius Oliveira,345.***.***-82,57,1967-03-17,Acre,5122.87,Ensino Médio,1,Casado,0,Tecnologia,"Aeroporto Cardoso, 22",Novo São Lucas,42073-570,Castro da Mata 
Isis Barros,364.***.***-37,30,1993-12-09,Minas Gerais,6741.8,Ensino Médio,0,Casado,6,Comércio,"Alameda de Cardoso, 78",Nossa Senhora De Fátima,20597-847,Peixoto 
Gabrielly Gonçalves,371.***.***-68,73,1950-09-05,Mato Grosso do Sul,3960.83,Ensino Superior,2,Solteiro,25,Educação,"Trevo Luna Silveira, 67",Nossa Senhora Da Aparecida,56712-272,Gonçalves 
Felipe Lima,751.***.***-11,27,1996-07-08,Piauí,6667.62,Ensino Superior,0,Divorciado,3,Tecnologia,Área Dias,Granja De Freitas,92505-351,Gonçalves 
Júlia Ferreira,651.***.***-03,48,1975-07-23,Rio Grande do Norte,11941.8,Ensino Superior,0,Casado,27,Educação,"Estrada de da Rosa, 45",Heliopolis,13878-107,Araújo 
Guilherme Rezende,592.***.***-06,59,1964-06-23,Amapá,6191.14,Ensino Superior,0,Casado,6,Comércio,"Feira Cauã Aragão, 13",Pedreira Padro Lopes,99192-375,Aragão do Campo 
Agatha Nunes,187.***.***-96,49,1974-06-04,Tocantins,16942.43,Ensino Superior,0,Casado,20,Saúde,Praça Duarte,Vila Novo São Lucas,59801-884,Barros 
João Miguel Fernandes,576.***.***-82,20,2003-05-19,Minas Gerais,4999.53,Ensino Fundamental,0,Casado,1,Tecnologia,"Avenida de Peixoto, 21",Lourdes,38829-400,Ferreira de da Cunha 
Thomas Fernandes,485.***.***-29,34,1989-07-09,Rio de Janeiro,3823.07,Ensino Médio,0,Casado,10,Comércio,"Feira de Azevedo, 1",São Vicente,35130-114,Freitas 
Sra. Ana Júlia Pereira,042.***.***-89,33,1990-10-03,Piauí,6071.32,Ensino Médio,0,Casado,5,Indústria,"Núcleo Leandro Lopes, 48",Mineirão,38715-725,Fogaça Paulista 
Luiz Fernando Nascimento,014.***.***-60,51,1973-01-12,Amazonas,5311.64,Ensino Fundamental,0,Casado,19,Saúde,"Travessa Samuel Cavalcanti, 60",Vila Vista Alegre,44696-537,Barros de Minas 
Antônio Rodrigues,712.***.***-02,27,1996-10-03,Sergipe,3380.53,Não informado,0,Não informado,3,Não informado,Morro Ana Clara Pires,São Luiz,38460-464,Mendes 
Gabriel Ramos,912.***.***-37,36,1987-07-29,Mato Grosso,5867.22,Ensino Médio,3,Solteiro,11,Saúde,"Fazenda Erick Alves, 30",Vila São Geraldo,94415-937,Melo 
Isis Pereira,534.***.***-79,54,1969-11-28,Tocantins,10967.5,Ensino Superior,0,Casado,32,Tecnologia,"Favela Ramos, 394",Rio Branco,08580-589,Fogaça da Serra 
Luiz Fernando Porto,378.***.***-79,29,1995-01-31,Rondônia,7982.37,Ensino Médio,1,Casado,10,Indústria,"Viaduto de Mendes, 67",Camponesa 2ª Seção,04703-790,Costa dos Dourados 
Otávio Gonçalves,102.***.***-88,26,1997-11-08,Amapá,3900.38,Ensino Médio,1,Solteiro,1,Comércio,"Viela de da Cunha, 4",Bairro Das Indústrias Ii,69404-625,Campos da Mata 
Luiz Felipe Santos,580.***.***-05,19,2004-05-21,Alagoas,3369.1,Ensino Médio,0,Casado,0,Saúde,"Loteamento de Moreira, 3",Santa Margarida,78676-301,Santos do Oeste 
Elisa da Conceição,356.***.***-51,52,1972-02-19,Rio de Janeiro,9387.09,Ensino Médio,2,Divorciado,6,Saúde,"Conjunto Daniela Lima, 13",Olhos D'água,38646-207,Moraes de Nascimento 
Laura da Rosa,359.***.***-60,20,2003-05-02,Espírito Santo,2979.75,Ensino Médio,2,Casado,0,Comércio,"Viela de Souza, 33",Conjunto Lagoa,08262-335,Novaes 
Sr. Samuel da Cruz,953.***.***-20,19,2004-11-29,Paraíba,3711.76,Ensino Médio,0,Divorciado,0,Saúde,"Loteamento Yago Sales, 1",São Cristóvão,03523-115,da Cunha Grande 
Anthony Silveira,539.***.***-89,50,1974-02-28,Mato Grosso do Sul,9325.37,Ensino Superior,1,Casado,27,Saúde,Quadra de Cardoso,Vila Antena Montanhês,69641-141,Nascimento das Pedras 
Ana Sophia Viana,142.***.***-28,22,2001-04-24,Pará,2476.54,Ensino Médio,0,Casado,1,Comércio,"Morro Cardoso, 37",Vila Vista Alegre,29075-474,Cavalcanti de Minas 
Catarina da Rosa,407.***.***-49,22,2002-01-05,Amazonas,5427.32,Ensino Médio,3,Casado,4,Indústria,"Aeroporto Vieira, 88",Serrano,89175-271,Peixoto 
Isaac da Conceição,654.***.***-39,33,1990-08-07,Amazonas,5413.53,Ensino Médio,1,Casado,12,Indústria,"Trevo de Castro, 11",Nossa Senhora Da Conceição,88008-268,da Mata do Norte 
Alice Souza,754.***.***-64,60,1963-07-05,Rio Grande do Norte,5478.39,Ensino Fundamental,0,Solteiro,30,Educação,"Fazenda Luna Moreira, 84",Carlos Prates,10276-090,Sales da Prata 
Nicole Rocha,219.***.***-06,24,1999-12-09,Mato Grosso do Sul,3812.39,Ensino Fundamental,3,Solteiro,6,Educação,"Residencial de Cunha, 395",Vitoria,73144-001,Gomes 
André Dias,634.***.***-64,43,1980-04-13,Amapá,9972.74,Não informado,2,Não informado,25,Não informado,Trevo Alana Barbosa,Bairro Das Indústrias Ii,92051-999,Melo Alegre 
